"","name","climVar","N","pmn","sd","q05","pmd","q95","min","max","wtm","mwm","mpt","mat","opt","chc"
"2","Abies amabilis","cwd",20,479.641163635254,81.0543655155189,430.085266113281,453.70198059082,654.845083618164,430.085266113281,744.989379882812,455.051739034727,449.9794118576,430.085266113281,430.085266113281,425.828953598485,547.886096714947
"21","Abies bracteata","cwd",148,645.773176657187,109.049625263645,539.721130371094,619.128723144531,880.924682617188,486.217620849609,971.6435546875,633.572150036026,610.36297048461,558.97705078125,558.97705078125,568.942866161616,690.125239302397
"22","Abies concolor","cwd",831,689.22003772428,150.224634094931,422.643768310547,704.908447265625,919.794616699219,152.86979675293,1029.14379882812,257.561238530952,679.907753231699,152.86979675293,152.86979675293,0,596.002678204205
"23","Abies grandis","cwd",105,454.179946463449,60.8990089965742,372.746392822266,447.322235107422,555.724609375,288.399169921875,648.256530761719,421.71028761615,445.754935398905,411.122528076172,434.6298828125,426.763938210227,438.329550461336
"24","Abies lasiocarpa","cwd",31,476.014715379284,21.9161327007392,457.721313476562,468.341827392578,512.276809692383,413.165283203125,518.512023925781,475.119913946801,472.99574786949,468.341827392578,468.341827392578,462.561982125947,477.333105190605
"25","Abies magnifica","cwd",409,561.639203656856,140.99310909775,312.990167236328,563.98681640625,772.781481933594,152.86979675293,899.587036132812,275.539614243111,529.148791369864,152.86979675293,152.86979675293,0,532.643228894067
"26","Abies procera","cwd",42,425.097470238095,48.6817026905739,335.839785766602,446.465606689453,471.546752929688,328.185424804688,542.652282714844,394.824961228715,419.758559453955,378.742553710938,356.165283203125,0,430.847476181043
"27","Abronia alpina","cwd",20,732.594561767578,34.5715581625832,710.411386108398,721.445556640625,820.863891601562,670.05859375,820.863891601562,730.704058110907,730.743743397551,721.445556640625,721.445556640625,710.903073705808,734.485900878906
"28","Abronia latifolia","cwd",274,605.327877629413,145.80975790646,321.497613525391,625.559448242188,807.218078613281,288.162902832031,895.281005859375,402.018491062788,581.330796249821,300.131317138672,288.399169921875,0,546.740419454654
"29","Abronia maritima","cwd",398,736.397523506203,232.942517810636,328.506843566895,822.609222412109,1010.80824890137,302.387908935547,1092.53564453125,382.388926360253,707.439385013928,302.387908935547,327.331298828125,0,695.708631198844
"210","Abronia nana","cwd",108,842.782775878906,124.06133880506,646.760906982422,822.985656738281,1049.38818359375,617.639526367188,1054.23266601562,850.747303458273,826.723871762297,849.955139160156,849.955139160156,781.822699652778,820.033691837998
"211","Abronia pogonantha","cwd",227,1223.98340462168,159.748198743235,918.325866699219,1240.03466796875,1439.98125,740.719360351562,1602.79992675781,1297.09985362328,1268.09394870857,1363.57958984375,1363.57958984375,1351.40639303188,1116.5488148448
"212","Abronia turbinata","cwd",97,856.567428746174,246.088308362097,569.737145996094,749.201354980469,1293.84692382812,523.537780761719,1452.10534667969,986.859422205794,810.316626829821,678.419921875,636.318115234375,675.435184363163,973.773814784494
"213","Abronia umbellata","cwd",665,689.152141507945,227.708478839861,314.41259765625,677.305419921875,1004.48547363281,295.628967285156,1049.96472167969,357.879727182302,653.686437074378,296.592254638672,296.592254638672,0,588.69924340414
"214","Abronia villosa","cwd",918,1476.12250261161,188.679468239554,1121.05462646484,1485.9443359375,1732.65076904297,991.420288085938,1757.95629882812,1554.60027009313,1522.95829545616,1423.50427246094,1423.50427246094,1494.76183712121,1309.68327298131
"215","Acaena pinnatifida","cwd",120,656.500355021159,80.0032899790715,545.180328369141,636.635345458984,801.960818481445,475.858917236328,816.521850585938,649.319666522631,650.423199172681,607.612182617188,607.612182617188,603.345722853535,635.784564054348
"216","Acalypha californica","cwd",101,1135.51444236831,177.301811325095,927.092346191406,1043.7939453125,1420.41662597656,916.509094238281,1420.41662597656,1263.10454587325,1176.84804397444,1418.59985351562,1419.20666503906,1383.31279592803,1107.64422551267
"217","Acamptopappus shockleyi","cwd",186,1172.4923394316,132.225168600802,954.17463684082,1194.31909179688,1334.05963134766,829.572814941406,1587.32409667969,1230.34591262539,1179.24381270926,1205.4990234375,1232.96179199219,1210.04018209438,1154.7894398363
"218","Acamptopappus sphaerocephalus","cwd",632,1250.5629260872,147.278587227483,1010.63165588379,1257.30523681641,1463.8115234375,696.6083984375,1687.86535644531,1312.26713521864,1277.91238619798,1258.59423828125,1258.59423828125,1277.03311434659,1157.41119693883
"219","Acanthomintha duttonii","cwd",36,643.870461357964,23.4384139954059,616.894775390625,640.0478515625,686.289794921875,616.894775390625,692.283508300781,642.873792604528,642.498820505028,640.0478515625,639.605163574219,641.185147372159,653.028017132072
"220","Acanthomintha ilicifolia","cwd",70,963.830899483817,53.3804133188902,875.393045043945,958.438812255859,1092.32568359375,857.390319824219,1092.32568359375,967.936377768728,962.855817474376,947.228881835938,949.617858886719,959.80937056108,967.384673543165
"221","Acanthomintha lanceolata","cwd",182,892.087938581194,118.043674870037,662.261102294922,921.764923095703,1044.16857910156,643.545288085938,1087.32055664062,900.777845350502,906.315935640568,815.399230957031,815.399230957031,817.855370107323,894.619473281903
"222","Acanthomintha obovata","cwd",95,909.535089432566,75.8268853536915,785.499987792969,903.164611816406,1012.03189697266,763.9609375,1094.03637695312,913.131538526554,907.561594626874,848.379028320312,870.990356445312,852.141571969697,935.773216781166
"223","Acanthoscyphus parishii","cwd",369,790.60925656864,75.3995829088208,667.048876953125,772.095092773438,945.358581542969,600.736450195312,1007.43499755859,789.793071869952,778.233337710746,761.407897949219,759.633911132812,745.345932469223,782.361044229955
"224","Acer circinatum","cwd",242,589.567960754899,150.631370673925,351.424133300781,583.157897949219,807.205944824219,152.406890869141,847.824829101562,448.47365124459,555.553866702822,152.406890869141,152.406890869141,0,502.066981343675
"225","Acer glabrum","cwd",728,634.830756617116,143.532721160688,424.000975036621,616.7578125,921.022766113281,152.406890869141,1054.23266601562,498.054287233875,616.403989505246,152.406890869141,152.406890869141,0,602.485321892613
"226","Acer macrophyllum","cwd",1258,769.354265755804,161.158379906038,479.791708374023,776.653961181641,1013.20006713867,402.220794677734,1351.70678710938,739.415136065119,756.829163070987,662.234069824219,700.578186035156,675.70956883286,785.228800385492
"227","Acer negundo","cwd",550,862.933229425604,171.234817327701,591.937872314453,866.022613525391,1082.07348632812,441.033752441406,1365.60864257812,890.145507220636,875.945442767578,1035.44018554688,1037.88793945312,1774.33514835859,908.962670190277
"228","Achillea millefolium","cwd",2076,697.326272556547,188.410290626843,409.800384521484,691.282897949219,993.979125976562,288.173126220703,1390.3544921875,580.111492162908,663.010251305491,297.266448974609,297.266448974609,0,761.689684509577
"229","Achlys californica","cwd",21,493.594977969215,76.0964470670656,404.267395019531,495.365570068359,627.392211914062,391.526824951172,666.69482421875,463.200092607019,479.384020415644,404.267395019531,449.604766845703,426.266838304924,511.69489360157
"230","Achlys triphylla","cwd",96,477.363575299581,76.0512815728266,352.528923034668,471.791961669922,596.072830200195,322.683441162109,666.69482421875,427.879985785146,466.830644313517,409.405792236328,409.405792236328,390.343207465278,475.915747826148
"231","Achyrachaena mollis","cwd",730,885.388307252649,178.189932964925,544.018005371094,934.142120361328,1126.76806640625,338.136810302734,1244.31042480469,898.415628003488,913.250341288367,1085.44567871094,1116.78076171875,1101.95136669429,775.782823717629
"232","Achyronychia cooperi","cwd",400,1548.08512313843,117.580893856507,1336.3401184082,1557.45593261719,1727.54721069336,976.648376464844,1753.57849121094,1583.88210742124,1565.33836975022,1456.47705078125,1456.47705078125,1493.18408203125,1333.08861670844
"233","Acmispon americanus","cwd",1430,834.115364106719,179.993374894035,549.096826171875,848.439147949219,1087.7728515625,296.834014892578,1495.72387695312,843.378639921913,837.722903736552,878.733703613281,861.734497070312,993.745896464647,860.801378459867
"234","Acmispon argophyllus","cwd",1038,835.165766780316,270.905584596134,325.925433349609,879.707214355469,1232.90379638672,297.266448974609,1606.5869140625,514.002662982654,820.790243772554,297.266448974609,297.266448974609,0,882.14685465852
"235","Acmispon argyraeus","cwd",175,936.351655273437,163.008802402125,729.643029785156,919.078491210938,1174.62166748047,699.296997070312,1459.79187011719,1014.47201250652,936.240705328874,779.029235839844,781.99755859375,781.129774305556,1010.154118171
"236","Acmispon brachycarpus","cwd",902,924.580127081691,226.863057080174,555.884896850586,903.735168457031,1313.53712158203,298.231414794922,1673.59240722656,1041.88201202891,946.082310787263,766.305480957031,745.492553710938,1243.6185216422,901.834733322115
"237","Acmispon cytisoides","cwd",78,662.863979633038,80.0065363849236,573.386923217773,635.088043212891,784.859271240234,481.927032470703,827.549926757812,656.875850761536,650.07791092398,638.829406738281,625.559448242188,604.501795296717,659.698146906459
"238","Acmispon dendroideus","cwd",350,556.054808698382,106.123933613698,379.753686523438,574.362640380859,710.376159667969,337.671234130859,736.696960449219,481.709648663612,534.0699482812,392.46142578125,392.46142578125,391.200276692708,542.433437633933
"239","Acmispon denticulatus","cwd",96,740.524324417114,153.49894210143,471.525764465332,783.714080810547,956.377578735352,412.762420654297,1046.853515625,689.578716995222,731.718551944555,804.0517578125,811.227416992188,818.61268939394,731.507428323276
"240","Acmispon glaber","cwd",1921,951.161617932378,168.585198854571,617.529663085938,964.289794921875,1221.70703125,445.831085205078,1556.18823242188,1017.71740293709,978.265863399277,1308.80383300781,1308.80383300781,1385.06628787879,950.315920607823
"241","Acmispon grandiflorus","cwd",548,828.798278697216,147.480052362447,569.369738769531,843.652587890625,1037.89112548828,410.932037353516,1311.544921875,830.235020462469,837.336639297467,719.493225097656,793.692749023438,888.54234483507,840.423473551466
"242","Acmispon haydonii","cwd",57,1298.30297316166,133.719057201062,1059.51599121094,1325.125,1471.57634277344,986.104248046875,1510.90979003906,1347.84467495112,1347.77489184267,1465.62707519531,1465.62707519531,1775.10604087753,1257.9888200968
"243","Acmispon heermannii","cwd",678,922.092373378158,181.020093493911,603.704162597656,946.298706054688,1191.65174560547,448.769073486328,1533.73168945312,991.550193122492,936.441034222389,1149.99865722656,1149.94494628906,1245.88517005997,1009.24240161387
"244","Acmispon junceus","cwd",152,725.784157401637,119.118024295622,489.155731201172,752.229064941406,887.505676269531,389.710205078125,921.506774902344,705.06253774816,739.745598847525,752.256958007812,752.256958007812,747.428977272727,654.118335651495
"245","Acmispon maritimus","cwd",784,1057.37427088679,297.107317188709,597.141784667969,1016.65057373047,1592.767578125,423.08935546875,1720.36450195312,1297.88239880537,1127.72526854708,1583.40197753906,1572.49133300781,1560.40440538194,1040.22692588249
"246","Acmispon micranthus","cwd",498,944.569356466393,188.692927481993,580.927490234375,991.708282470703,1149.38460693359,338.136810302734,1485.9443359375,961.083985282625,977.944399503077,1072.70520019531,1100.74084472656,0,909.41148923608
"247","Acmispon nevadensis","cwd",744,762.563726117534,128.970934144987,566.637622070313,769.430999755859,1003.17803039551,369.617858886719,1316.19567871094,771.196920042228,752.551429452086,791.428466796875,788.168029785156,780.626085069444,816.532558270879
"248","Acmispon parviflorus","cwd",431,771.033235625159,164.088626318394,461.075805664062,788.208618164062,994.814086914062,298.231414794922,1362.30627441406,730.852152956781,780.507211157635,886.850708007812,902.745361328125,888.730505741004,818.265276292494
"249","Acmispon procumbens","cwd",269,933.982595677713,120.934065555582,761.135424804688,942.4228515625,1153.53708496094,631.258117675781,1284.50244140625,976.33885743797,930.596344859672,959.296936035156,945.686889648438,959.764093572443,942.45979348699
"250","Acmispon prostratus","cwd",84,940.483359927223,29.2923696980081,871.192825317383,947.228881835938,969.271057128906,857.487548828125,1014.92303466797,941.054530561876,944.684912062009,949.608276367188,946.686157226562,957.744806463068,935.290186679679
"251","Acmispon rigidus","cwd",384,1270.57000017166,155.660593205977,1060.93664550781,1250.45922851562,1533.42174682617,875.2080078125,1722.27941894531,1345.5358642516,1291.98112819068,1521.12451171875,1521.12451171875,1170.93912760417,1231.87510409479
"252","Acmispon strigosus","cwd",2475,1032.78955926452,271.589882821428,602.77744140625,1005.32531738281,1601.01293945312,329.813568115234,1755.45495605469,1269.99583671939,1080.3909559661,1398.06677246094,1398.06677246094,1635.26413056345,973.538076707765
"253","Acmispon wrangelianus","cwd",771,873.043129016763,200.96954991339,537.149322509766,887.505676269531,1159.06481933594,396.5341796875,1692.11315917969,929.303343129725,877.711506144712,1182.91235351562,1286.35070800781,1774.3773181029,960.937174096205
"254","Aconitum columbianum","cwd",557,604.086914035105,96.0321687518414,438.760955810547,604.805297851562,759.638500976562,152.86979675293,864.550231933594,573.152175649753,596.099642220751,681.5068359375,674.139831542969,569.018584280303,551.589405230507
"255","Aconogonon davisiae","cwd",256,500.868580400944,83.4744976066665,387.240135192871,495.873626708984,649.656555175781,152.86979675293,786.590759277344,318.105170996487,478.335357030319,152.86979675293,152.86979675293,0,465.412917589781
"256","Aconogonon phytolaccifolium","cwd",194,546.700612490939,85.6766514372722,396.912384033203,553.526275634766,670.252261352539,334.442596435547,750.579223632812,499.896798490657,533.177482482956,396.912384033203,384.923706054688,391.045627170139,555.26967331138
"257","Acourtia microcephala","cwd",497,905.08085266973,164.932306963764,585.249755859375,947.228881835938,1101.8369140625,433.125335693359,1239.49938964844,921.896147832521,931.747877750192,1019.47271728516,1019.47271728516,1031.52404415246,887.449698167871
"258","Actaea rubra","cwd",348,638.782266551051,123.903611367442,425.080102539063,652.002380371094,824.34326171875,273.498352050781,1063.6875,562.331691111325,628.584635671944,674.869812011719,681.914978027344,712.427941524621,614.275357966546
"259","Adenocaulon bicolor","cwd",333,618.348894090624,108.014093109263,432.935089111328,619.736206054688,789.980041503906,325.106964111328,875.317016601562,573.736118772717,611.325477752549,658.757690429688,658.757690429688,639.038174715909,597.04652476229
"260","Adenophyllum cooperi","cwd",367,1248.03072346783,125.12181938399,1037.16267089844,1250.93542480469,1442.25347900391,851.892761230469,1604.85986328125,1297.9235663705,1269.17786566688,1254.794921875,1272.60131835938,1244.56251972854,1220.97468692127
