Factor,legend.low,legend.high,HSV,RGB,R,G,B,Hex
JJA,15,16,"214,62,71","69,117,181",69,117,181,#4575B5
JJA,16,17,"214,50,72","92,132,184",92,132,184,#5C84B8
JJA,17,18,"213,40,72","110,143,184",110,143,184,#6E8FB8
JJA,18,19,"211,29,73","132,158,186",132,158,186,#849EBA
JJA,19,20,"205,19,74","153,174,189",153,174,189,#99AEBD
JJA,20,21,"184,9,74","172,188,189",172,188,189,#ACBCBD
JJA,21,22,"111,7,80","192,204,190",192,204,190,#C0CCBE
JJA,22,23,"74,14,86","212,219,189",212,219,189,#D4DBBD
JJA,23,24,"65,20,93","233,237,190",233,237,190,#E9EDBE
JJA,24,25,"60,25,100","255,255,191",255,255,191,#FFFFBF
JJA,25,26,"44,32,100","255,233,173",255,233,173,#FFE9AD
JJA,26,27,"34,40,99","252,209,151",252,209,151,#FCD197
JJA,27,28,"27,47,98","250,185,132",250,185,132,#FAB984
JJA,28,29,"22,54,97","247,163,114",247,163,114,#F7A372
JJA,29,30,"18,60,95","242,141,97",242,141,97,#F28D61
JJA,30,31,"14,66,93","237,117,81",237,117,81,#ED7551
JJA,31,32,"11,71,90","230,96,67",230,96,67,#E66043
JJA,32,33,"8,77,87","222,74,51",222,74,51,#DE4A33
JJA,33,34,"3,82,84","214,47,39",214,47,39,#D62F27
JJA,34,35,"0,85,82","209,31,31",209,31,31,#D11F1F
JJA,35,36,"360,88,78","199,24,24",199,24,24,#C71818
JJA,36,37,"355,90,75","191,19,33",191,19,33,#BF1321
JJA,37,38,"350,92,70","179,14,42",179,14,42,#B30E2A
JJA,38,39,"348,95,67","171,9,41",171,9,41,#AB0929
JJA,39,40,"345,97,65","166,5,45",166,5,45,#A6052D
JJA,40,41,"340,100,60","153,0,51",153,0,51,#990033
JJA,41,42,"340,100,55","140,0,47",140,0,47,#8C002F
