"CN","PLT_CN","PREV_SIT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CONDID","TREE","SPCD","DIA","HT","AGEDIA","SPGRPCD","SITREE","SIBASE","SUBP","AZIMUTH","DIST","METHOD","SITREE_EST","VALIDCD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE"
"13097707010497","13097693010497","",2005,6,1,15,88796,1,6,202,14.3,85,26,10,129,100,4,213,11.3,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13097704010497","13097693010497","",2005,6,1,15,88796,1,3,202,11.8,59,20,10,112,100,1,270,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13097705010497","13097693010497","",2005,6,1,15,88796,1,4,202,9.9,56,19,10,111,100,3,264,23.8,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13097706010497","13097693010497","",2005,6,1,15,88796,1,5,202,13.3,75,25,10,119,100,4,231,11.3,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13097703010497","13097693010497","",2005,6,1,15,88796,1,2,202,8.9,67,18,10,136,100,1,62,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13098410010497","13098401010497","",2005,6,1,15,90658,1,2,202,35.5,149,81,10,92,50,2,302,46.6,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13098411010497","13098401010497","",2005,6,1,15,90658,1,3,202,57.7,178,155,10,79,50,2,278,86.1,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13098414010497","13098401010497","",2005,6,1,15,90658,1,4,202,41,148,95,10,83,50,2,306,25.2,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13098409010497","13098401010497","",2005,6,1,15,90658,1,1,15,30.2,131,48,12,114,50,1,40,15,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13089903010497","13089892010497","",2005,6,5,43,63056,1,1,103,9.8,46,66,24,62,50,2,300,17.5,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13090250010497","13090238010497","",2005,6,5,43,60487,1,2,108,19,95,125,21,90,100,2,335,16.6,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13090249010497","13090238010497","",2005,6,5,43,60487,1,1,108,21.1,103,151,21,91,100,1,96,9.8,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13122419010497","13122407010497","",2005,6,3,115,60707,1,1,202,30.4,117,63,10,84,50,1,276,75.5,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13122422010497","13122407010497","",2005,6,3,115,60707,1,4,202,26.5,120,70,10,81,50,3,65,48.1,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13122421010497","13122407010497","",2005,6,3,115,60707,1,3,202,24.5,109,53,10,88,50,3,202,38.1,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13122420010497","13122407010497","",2005,6,3,115,60707,1,2,202,30.4,124,53,10,100,50,4,240,34.6,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13122789010497","13122782010497","",2005,6,2,93,86676,1,1,202,19.8,78,29,10,99,50,3,85,12,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13122790010497","13122782010497","",2005,6,2,93,86676,1,2,202,14.9,73,29,10,93,50,4,54,19.9,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13130195010497","13130188010497","",2005,6,2,93,56428,1,1,117,21.6,80,90,14,47,50,3,232,4.8,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13130197010497","13130188010497","",2005,6,2,93,56428,1,3,117,23.5,93,77,14,59,50,2,103,14.8,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13130196010497","13130188010497","",2005,6,2,93,56428,1,2,117,23.7,89,89,14,52,50,3,169,18.4,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13177105010497","13177096010497","",2005,6,1,23,78155,1,3,202,13.5,85,27,10,126,100,2,65,9.5,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13177103010497","13177096010497","",2005,6,1,23,78155,1,1,202,15.4,80,26,10,122,100,4,304,13.8,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13177106010497","13177096010497","",2005,6,1,23,78155,1,4,211,14.3,96,37,16,120,50,3,315,12.8,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13177104010497","13177096010497","",2005,6,1,23,78155,1,2,202,12.1,81,21,10,145,100,2,345,5.1,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13177449010497","13177442010497","",2005,6,1,23,53183,1,1,202,40.1,126,88,10,94,100,1,60,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13124979010497","13124972010497","",2005,6,2,93,63411,1,1,20,27.5,101,135,12,35,50,2,37,21.1,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13124981010497","13124972010497","",2005,6,2,93,63411,1,3,20,21.5,96,145,12,31,50,2,110,37.4,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13124980010497","13124972010497","",2005,6,2,93,63411,1,2,20,20.5,90,112,12,35,50,2,41,40.8,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13125326010497","13125319010497","",2005,6,2,93,96031,1,1,202,15.4,69,52,10,57,50,4,311,30.2,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13125328010497","13125319010497","",2005,6,2,93,96031,1,3,202,13.8,60,58,10,46,50,4,78,62.8,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13125327010497","13125319010497","",2005,6,2,93,96031,1,2,202,18.5,80,69,10,54,50,4,95,53.7,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13112714010497","13112705010497","",2005,6,5,9,70875,1,3,122,28.5,99,89,11,105,50,1,174,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13112713010497","13112705010497","",2005,6,5,9,70875,1,2,122,11.5,40,37,11,85,50,1,9,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13112712010497","13112705010497","",2005,6,5,9,70875,1,1,122,24.2,91,135,11,81,50,1,217,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13112892010497","13112883010497","",2005,6,5,9,64364,1,3,15,17.1,80,66,12,56,50,2,308,46.6,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13112890010497","13112883010497","",2005,6,5,9,64364,1,1,15,24.3,116,93,12,66,50,1,11,18.1,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13112891010497","13112883010497","",2005,6,5,9,64364,1,2,15,15.7,86,57,12,66,50,2,264,24.7,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13113140010497","13113133010497","",2005,6,5,9,83728,1,1,202,24.8,89,58,10,82,100,1,130,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13113146010497","13113133010497","",2005,6,5,9,83728,1,7,202,16.5,90,40,10,100,100,3,167,192.1,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13113147010497","13113133010497","",2005,6,5,9,83728,1,8,202,27.9,103,85,10,78,100,4,77,20.8,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13113143010497","13113133010497","",2005,6,5,9,83728,1,4,202,14.1,63,33,10,83,100,1,260,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13113145010497","13113133010497","",2005,6,5,9,83728,1,6,202,22.2,86,66,10,74,100,1,210,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13113142010497","13113133010497","",2005,6,5,9,83728,1,3,202,18.3,87,74,10,71,100,1,342,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
