,Species.13,name
1,ADEFAS,Adenostoma fasciculatum
2,AESCAL,Aesculus californica
3,AMOCAL,Amorpha californica
4,ARBMEN,Arbutus menziesii
5,ARCMAN,Arctostaphylos manzanita
6,BACPIL,Baccharis pilularis
7,CEACUN,Ceanothus cuneatus
8,CEAPAR,Ceanothus parryi
9,CERBET,Cercocarpus betuloides
10,CORCOR,Corylus cornuta
11,FRACAL,Frangula californica
12,HETARB,Heteromeles arbutifolia
13,HOLDIS,Holodiscus discolor
14,NOTDEN,Notholithocarpus densiflorus
15,PRUCER,NA
16,PSEMEN,Pseudotsuga menziesii
17,QUEAGR,Quercus agrifolia
18,QUEBEGA,NA
19,QUEBER,Quercus berberidifolia
20,QUEdec,NA
21,QUEDOGA,NA
22,QUEDOU,Quercus douglasii
23,QUEGAR,Quercus garryana
24,QUEKEL,Quercus kelloggii
25,QUELOB,Quercus lobata
26,QUEWIS,Quercus wislizeni
27,RHACRO,Rhamnus crocea
28,SAMNIG,Sambucus nigra
29,TORCAL,Torreya californica
30,UMBCAL,Umbellularia californica
31,UNK,NA
