,name,climVar,N,mean,sd,q05,median,q95,min,max,wtd.mean,chc,pwt.mean,mpt,mat,opt
1,Notholithocarpus densiflorus,aet,1024,391.1612736,61.60773098,308.8171616,388.2707977,491.2130737,30,516.7412109,462.6258995,323.480965,403.473863,507.6837463,507.6837463,511.4372485
1,Quercus agrifolia,aet,1683,333.9830797,41.38561751,268.0586212,329.5614929,411.3896484,190,450.0853271,339.9192319,324.6238757,334.1851436,312.3913574,312.3913574,315.5676639
2,Quercus berberidifolia,aet,1158,345.9892014,47.80004088,270.333252,343.1444702,429.1954758,110.8089447,483.694458,364.668732,311.5532875,350.2664738,374.5787354,374.5787354,365.8466439
3,Quercus cedrosensis,aet,27,310.5787806,40.75760418,254.2,310.3057861,365.5808258,253,397.338562,301.9414917,321.1474804,309.4934456,343.9133301,343.9133301,334.1073652
4,Quercus chrysolepis,aet,2471,344.736541,76.97164391,197.2500458,348.7736816,461.9707642,29,525.9151001,377.0329685,267.5057021,357.4709617,29,29,369.9758819
5,Quercus cornelius-mulleri,aet,380,277.0514074,80.00944067,122,284.4636536,387.1905746,82,438.4015503,235.7594102,255.3728384,258.6916883,148,87,0
6,Quercus douglasii,aet,1096,327.55586,60.19875089,236,321.4468079,422.2659836,168,506.6605835,336.3448543,326.1124029,328.6248522,413.2111206,413.2111206,300.3026308
7,Quercus dumosa,aet,401,321.6098957,51.45504615,263,312.2250977,413.6588745,182,437.2644653,326.7904797,302.1631762,317.6152616,276,276,274.5813358
8,Quercus durata,aet,964,361.4665144,48.32913099,292.2289734,360.5934906,465.0834824,123,497.1481323,406.4852215,321.3830173,367.9647675,494.647583,494.647583,493.986518
9,Quercus engelmannii,aet,687,358.3700202,54.08301561,269.444931,373.489563,436.0112885,171,449.3605347,371.5844747,306.7674294,371.1519222,408.3622742,439.0503235,432.9936449
10,Quercus garryana,aet,1031,370.162858,65.60823548,271.8030396,371.4989014,476.9845123,29,540.3696289,455.8650281,292.8905367,386.8580096,540.3696289,540.3696289,545.827908
11,Quercus john-tuckeri,aet,324,294.5219841,56.1026908,198,296.7774048,394.8796173,82,404.7179871,272.128603,209.8426343,296.0751119,292.5495911,86,0
12,Quercus kelloggii,aet,1506,355.2391205,70.40874441,218.9260979,358.7246704,455.2303848,29,523.6605225,384.6739801,267.7731747,368.030438,431.1998901,431.1998901,433.7390186
13,Quercus lobata,aet,946,333.8855239,52.5847097,266.4996185,324.6290283,427.6226273,70,503.2518616,359.6178531,280.4829038,334.5234724,312.4329834,312.4329834,313.3735191
14,Quercus pacifica,aet,364,285.0093007,23.56116252,240.8260193,285.0703735,317.027243,230.2376099,327.055603,276.8911138,275.0892063,287.7372644,277.6066284,277.6066284,283.165483
15,Quercus palmeri,aet,150,308.1914279,62.41433468,141,323.6976624,386.1052567,82,408.0806885,285.8543897,272.4262002,313.4261688,383.8138428,93,0
16,Quercus parvula,aet,367,329.6354704,28.95846256,291.0132996,319.9345703,373.0111694,267.930603,412.1090393,333.4843481,337.7377264,329.658096,365.2077942,303.322998,305.1414733
17,Quercus sadleriana,aet,289,363.1133908,55.60292651,267.5195129,371.4989014,449.9470947,216.9403534,490.430481,387.3989091,372.3813954,375.2144551,367.0945435,377.1414795,375.8593072
18,Quercus tomentella,aet,459,263.1054521,40.78599359,195.9721313,275.188385,317.3998413,183.8252869,327.055603,242.1985041,252.4333393,255.5002026,219.4705048,219.4705048,244.6926861
19,Quercus turbinella,aet,125,252.5553628,55.56573787,122,265,323,92,352.2740479,228.9955413,213.5019576,251.2427849,270,232,226.279086
20,Quercus vacciniifolia,aet,770,336.892233,73.62053863,221.0285553,332.0621796,468.7093628,146,511.4404297,410.1319467,336.55029,342.0668415,511.4404297,498.7467651,545.9132339
21,Quercus wislizeni,aet,1827,350.5037297,61.45774949,245.6239777,350.7825928,438.45065,29,530.8921509,367.6882023,257.2461067,362.5447723,425.6816101,425.6816101,429.0037583
