,name,climVar,N,mean,sd,q05,median,q95,min,max,wtd.mean,chc,pwt.mean,mpt,mat,opt
2,Notholithocarpus densiflorus,cwd,1024,584.0675949,128.5789202,367.7656876,589.5787048,775.1753174,152.4068909,987.8997192,465.7688947,528.9692935,559.9596015,278.3719788,278.3719788,0
2,Quercus agrifolia,cwd,1683,844.1144773,171.2945486,564.3924561,867.1002197,1081.67627,458.4567261,1239.49939,852.0444832,856.6440831,844.3142629,1056.913696,1056.913696,1066.909846
21,Quercus berberidifolia,cwd,1158,915.3721271,127.7497108,659.6204437,931.3167725,1079.274976,445.8310852,1168.720093,928.7843362,809.9552838,937.8748018,997.0153809,997.0153809,996.5036794
22,Quercus cedrosensis,cwd,27,1015.239843,57.11812914,929.3428284,997.937561,1106.234778,919.213501,1109.953613,1028.59076,995.6312366,1016.938758,997.937561,997.937561,995.6500158
23,Quercus chrysolepis,cwd,2471,778.8025382,186.4620234,473.1439056,782.6339722,1071.473877,152.8697968,1435.95813,758.2847111,720.7525271,764.6526431,152.8697968,152.8697968,0
24,Quercus cornelius-mulleri,cwd,380,1084.075528,143.1149808,848.3840027,1078.557617,1311.671503,782.9277954,1496.517212,1168.621851,1150.937958,1121.392684,1247.702148,1256.753662,1033.020515
25,Quercus douglasii,cwd,1096,906.8207254,144.5094175,663.3688965,924.9623108,1134.89209,543.3292847,1267.455933,936.4978051,884.9234479,918.0043546,924.1903687,924.1903687,960.0910866
26,Quercus dumosa,cwd,401,953.8249114,98.93114615,796.3416748,947.2288818,1096.936035,614.0738525,1325.125,972.0193093,964.9753523,958.8152822,933.1624146,933.1624146,923.3709852
27,Quercus durata,cwd,964,792.1329286,123.1792387,587.1698029,807.0976563,1002.866821,499.0820007,1098.012695,785.4491058,769.135421,786.0936999,714.1720581,714.1720581,852.6126302
28,Quercus engelmannii,cwd,687,992.9401403,100.1815036,843.9446533,1014.00592,1102.387207,576.2935181,1261.72583,1013.948364,944.7200629,1009.627926,1051.147095,1069.517212,1065.667096
29,Quercus garryana,cwd,1031,704.5347364,154.2458369,433.0554199,734.5621948,939.387207,152.8697968,1044.124268,653.0558764,582.6292357,685.7839138,735.1766357,735.1766357,427.0748106
210,Quercus john-tuckeri,cwd,324,964.1806577,120.2184367,764.0655609,958.5453491,1107.803955,631.2581177,1505.158447,1010.976443,995.1384632,966.2094325,951.7703247,980.7201538,959.9693714
211,Quercus kelloggii,cwd,1506,758.3671848,122.4578675,543.3106689,773.3905334,927.9485931,152.8697968,1226.436157,744.2974044,664.3831872,761.5103805,839.1034546,839.1034546,853.306108
212,Quercus lobata,cwd,946,857.368371,167.1737837,565.7457275,882.7956543,1073.281464,411.4963684,1316.659668,869.9084107,815.0689918,866.4959472,1020.66394,1020.66394,1031.346184
213,Quercus pacifica,cwd,364,597.7847652,57.46064877,499.1871643,602.9733887,704.9485504,429.5991211,729.3485107,589.0708639,590.0223681,593.7514875,611.8625488,611.8625488,603.9339464
214,Quercus palmeri,cwd,150,979.8221879,105.5946072,820.6690186,968.3011475,1198.8396,772.0854492,1342.638306,1022.563575,1029.365397,975.065786,912.6091919,921.0227661,994.7990451
215,Quercus parvula,cwd,367,598.4456562,91.29544112,483.7616028,579.2348633,752.2028259,430.1974487,977.5762329,581.8611328,680.0872668,572.1777701,509.8870239,506.9144592,534.3209561
216,Quercus sadleriana,cwd,289,473.6660076,90.37114808,335.7795715,461.8995361,626.3427246,308.7149353,750.8027344,407.3550667,512.2840563,438.1797917,333.1725464,300.8865051,0
217,Quercus tomentella,cwd,459,530.0198306,121.609318,338.1368103,564.3924561,676.3204346,325.5245056,724.6538086,405.8386335,536.0378111,499.2862693,357.1169434,357.1169434,355.112428
218,Quercus turbinella,cwd,125,1086.55875,119.7732551,929.4772339,1061.482056,1314.079272,887.6622925,1480.347534,1158.905349,1175.541075,1087.224324,1024.887451,1026.945313,1029.671066
219,Quercus vacciniifolia,cwd,770,565.0790273,106.6379477,359.1624146,572.1146545,715.0373535,297.9032898,854.7033081,464.1065546,565.8688696,545.6883623,297.9032898,276.8370361,0
220,Quercus wislizeni,cwd,1827,837.5834105,172.0076136,522.0141602,860.50177,1093.789063,152.8697968,1295.144531,849.7085488,751.5905974,837.4672308,905.6274414,905.6274414,924.4227085
