"","name","climVar","N","pmn","sd","q05","pmd","q95","min","max","wtm","mwm","mpt","mat","opt","chc"
"1","Avena barbata","aet",1556,334.154418072541,60.7332258251771,230.391166687012,333.15283203125,428.125053405762,150,541.863342285156,307.537644309626,331.928590157366,214.072341918945,212.051879882812,240.828152126736,309.647746528749
"2","Avena barbata","cwd",1556,880.158779173706,206.679370661993,454.403900146484,933.71044921875,1145.2585144043,300.288818359375,1412.08483886719,848.31213411802,898.201099231658,333.143646240234,326.2158203125,319.277920809659,799.39082065006
"3","Brachypodium distachyon","aet",684,333.467723021033,59.236729287182,248.079836273193,325.709503173828,436.695008850098,174.942504882812,496.260681152344,332.399906301263,330.684780832163,262,261,255.196259469697,323.044335881536
"4","Brachypodium distachyon","cwd",684,843.770015114232,167.11402761097,540.195007324219,887.766540527344,1053.50286865234,295.5498046875,1168.72009277344,775.336301539919,843.056120025668,935.106811523438,938.456665039062,601.002261383365,751.892179294464
"5","Briza maxima","aet",483,369.310891034934,43.4568526567388,308.535763549805,367.0625,442.388571166992,237.983032226562,506.241912841797,401.218839303633,371.34631297888,388.862823486328,388.862823486328,382.794389204545,375.946096645309
"6","Briza maxima","cwd",483,677.091002154301,167.645009481591,417.107833862305,678.966918945312,992.900921630859,324.411315917969,1143.27551269531,585.21892977708,627.082352611873,396.525146484375,396.525146484375,423.065370501894,740.760008243794
"7","Briza minor","aet",923,366.925732977341,52.539687422991,294.069067382812,365.207794189453,451.397937011719,152,510.241912841797,412.346636825988,375.925791295299,510.241912841797,516.450805664062,521.66748046875,335.616570916717
"8","Briza minor","cwd",923,817.334629839962,186.993834707245,478.931427001953,838.439697265625,1058.12553710938,311.129058837891,1544.2001953125,774.618790619187,810.254968050429,821.705139160156,751.035461425781,1610.03403172348,852.054914486236
"9","Bromus diandrus","aet",2545,329.693434871531,63.3775003048359,217.865173339844,327.867126464844,427.722430419922,65,526.417846679688,290.861016697427,327.142911064646,191.340042114258,189.717834472656,233.963487413194,284.736573580218
"10","Bromus diandrus","cwd",2545,870.919145445458,208.922938078752,458.409973144531,910.265441894531,1149.99865722656,301.606567382812,1756.02856445312,887.713985864726,880.728527316586,302.387908935547,296.592254638672,0,879.62268396697
"11","Bromus hordeaceus","aet",2662,336.146460248688,61.7070180950525,234.740821838379,334.047546386719,433.252801513672,88,526.34228515625,323.901223849709,336.284778919914,392.104095458984,392.104095458984,531.658873895202,299.081820873435
"12","Bromus hordeaceus","cwd",2662,851.60004317859,199.724110773122,463.350518798828,879.723693847656,1116.96871948242,284.197906494141,1458.91760253906,771.537986391986,855.522906526311,284.197906494141,284.197906494141,0,810.244084496539
"13","Bromus tectorum","aet",1908,310.268135342708,82.5998256178302,151,312.50537109375,435.676879882812,61,526.34228515625,232.072865382951,293.332420508265,61,61,0,261.269489390812
"14","Bromus tectorum","cwd",1908,871.941216170913,193.252938330572,563.676904296875,858.8125,1194.1650390625,311.181396484375,1713.2880859375,1001.55283154525,876.439032865631,692.148010253906,692.148010253906,780.457139756944,901.38291187002
"15","Carduus pycnocephalus","aet",604,347.330598035395,48.7519414816918,273.837828063965,343.309753417969,424.732905578613,94,492.103057861328,359.424145067369,350.270041192244,363.317169189453,362.1640625,363.17307597459,307.047654766948
"16","Carduus pycnocephalus","cwd",604,887.330818984682,155.748925039471,603.340637207031,924.159515380859,1077.76094360352,431.911529541016,1468.64965820312,869.183120631612,903.409177667671,1068.58557128906,1056.91760253906,1062.3945756392,892.76362315495
"17","Carduus pycnocephalus subsp. pycnocephalus","aet",219,344.258922977535,52.6922031695308,270.487078857422,332.382934570312,430.004776000977,247.940765380859,500.645568847656,359.76201556741,344.416961275402,321.562133789062,321.562133789062,319.041119199811,357.891892410243
"18","Carduus pycnocephalus subsp. pycnocephalus","cwd",219,858.687543198398,153.583645046046,577.3544921875,887.84619140625,1056.69807128906,431.911529541016,1127.19116210938,821.45442591261,865.47087518475,902.629028320312,902.629028320312,910.01923532197,767.274328307062
"19","Cirsium vulgare","aet",864,339.711700739684,60.3116469826445,238.854012298584,340.052612304688,439.925384521484,165,501.958770751953,328.627480312702,338.80648957432,212.285095214844,188,204.728696880919,321.004501588326
"20","Cirsium vulgare","cwd",864,818.426867979544,196.059794580452,479.833251953125,833.525299072266,1095.11462402344,370.441833496094,1377.67065429688,785.202428471427,805.478305352823,662.323974609375,582.748962402344,496.654543481692,825.960535496858
"21","Cynosurus echinatus","aet",654,398.50774432541,50.9646052586309,313.987831115723,402.829727172852,478.86619720459,290.773040771484,509.053131103516,468.252590585393,413.898870466007,503.249084472656,503.249084472656,547.336709378946,395.780615737476
"22","Cynosurus echinatus","cwd",654,728.301548575772,164.490167667908,455.173696899414,728.785919189453,983.729248046875,284.197906494141,1101.56518554688,635.100507323172,706.057626480749,641.814086914062,641.814086914062,637.436745383523,683.174948570751
"23","Erodium cicutarium","aet",2291,298.555914756878,86.0750158014545,121,309.296539306641,418.304748535156,65,533.372131347656,180.824592378409,278.59460115516,109,109,107.751945726799,262.143030305575
"24","Erodium cicutarium","cwd",2291,979.604180111628,249.423771715364,531.655944824219,977.5107421875,1439.89520263672,300.288818359375,1707.4208984375,1318.10157907886,1043.97537261437,1474.56005859375,1474.56005859375,1454.48830591067,903.147345620613
"25","Festuca bromoides","aet",1230,325.751658394666,75.5864092747073,136,332.2841796875,431.174237060547,72,526.34228515625,224.229708545682,318.537703884718,104,104,531.735198666351,282.737243519254
"26","Festuca bromoides","cwd",1230,796.44696980298,265.991908945243,442.05386505127,751.420501708984,1396.30005493164,305.611389160156,1659.72229003906,1210.62846090422,778.56498815497,1647.14282226562,1647.14282226562,1549.42588975694,855.893814102125
"27","Festuca perennis","aet",2121,336.903088682499,58.925564055009,244,334.379211425781,429.577484130859,29,504.448272705078,317.098934457593,335.748255352287,380.083770751953,380.083770751953,329.628501815025,248.333774054947
"28","Festuca perennis","cwd",2121,849.565248330209,208.842998984017,446.359436035156,880.188598632812,1123.39404296875,152.86979675293,1641.21813964844,625.211956109344,853.431669268936,283.970520019531,283.970520019531,0,777.98061527045
"29","Geranium molle","aet",409,379.805050950179,51.3982488661228,295.566162109375,388.612487792969,450.0576171875,239.119827270508,505.741363525391,416.873524756843,393.466851711046,438.391052246094,441.543426513672,437.869367503157,381.513964807357
"30","Geranium molle","cwd",409,793.953315492364,176.75879760964,443.075109863281,855.845764160156,1007.64884033203,285.257202148438,1160.53918457031,688.914413804844,797.273586038944,911.663696289062,915.089172363281,919.179929174558,734.183651713398
"31","Holcus lanatus","aet",866,375.517459543418,62.1665044123915,256.799621582031,382.653625488281,468.11393737793,135,512.184326171875,408.898306920776,390.943586632995,468.286560058594,474.111297607422,489.196382773043,319.174965053224
"32","Holcus lanatus","cwd",866,704.211844534576,191.008529692841,413.801940917969,704.91943359375,1027.94201660156,284.197906494141,1370.67321777344,610.333397406427,649.371986823819,397.087554931641,383.888610839844,390.228569878472,784.042740808195
"33","Hordeum murinum","aet",399,305.308394735618,71.2124956249605,159.3,311.364715576172,400.618997192383,71,480.353454589844,200.774155532979,293.053165468773,76,76,260.385994959359,259.161995831556
"34","Hordeum murinum","cwd",399,919.478044094,257.880571940283,472.754046630859,964.580200195312,1339.54366455078,305.41357421875,1742.38891601562,1293.74415402248,948.156118357981,1742.38891601562,1742.38891601562,1725.49701359296,926.770979983674
"35","Hordeum murinum subsp. glaucum","aet",935,295.466157735733,75.8523056644222,148,305.232391357422,406.460906982422,62,483.642456054688,179.087671254689,276.470631334674,62,62,186.094481188842,263.185970951369
"36","Hordeum murinum subsp. glaucum","cwd",935,938.12141531062,252.097009766203,458.638763427734,963.969177246094,1371.59318847656,302.387908935547,1752.95104980469,1159.62809447604,980.959635105144,1752.95104980469,1752.95104980469,1770.65762606534,926.207980556537
"37","Hordeum murinum subsp. leporinum","aet",943,318.753613290959,68.9471510042186,188.707962036133,321.09130859375,418.518572998047,73,507.937774658203,241.00173463677,310.625755753907,206,206,287.095791903409,276.593731735903
"38","Hordeum murinum subsp. leporinum","cwd",943,893.825634467893,232.413018073171,465.285522460938,926.37109375,1258.54916992187,304.927337646484,1687.33203125,1105.81474760447,918.187788861895,1463.71130371094,1463.71130371094,1661.59448735401,872.543523708872
"39","Hordeum murinum subsp. murinum","aet",43,298.471447611964,84.0644575491721,155.731393432617,300.221832275391,426.313168334961,97,446.98974609375,238.05563033657,278.91251311551,154,157,150.852724017519,262.100682405458
"40","Hordeum murinum subsp. murinum","cwd",43,944.196836249773,254.828705633145,456.316683959961,989.077697753906,1367.44176025391,333.380645751953,1641.28637695312,1139.0560607979,986.236936697628,1383.11096191406,1536.92102050781,1773.76622672033,891.352511157643
"41","Hypochaeris radicata","aet",524,361.412098542425,61.8988489856812,280.153590393066,348.290802001953,477.817311096191,107,507.278106689453,427.52464795318,373.740867476068,487.270050048828,487.270050048828,492.603038441051,305.0667611629
"42","Hypochaeris radicata","cwd",524,678.707532460453,199.847035426001,408.327934265137,657.761596679688,1048.22239379883,305.653381347656,1370.0087890625,585.873805072275,607.882727255723,357.429077148438,357.429077148438,424.236890388258,784.427917559207
"43","Lactuca serriola","aet",1031,319.621768451916,72.3557898179938,187.548927307129,318.776031494141,431.138565063477,68,516.450805664062,256.111406813287,312.689729523505,68,76,271.26708984375,268.395319997173
"44","Lactuca serriola","cwd",1031,896.451122354236,220.676747325518,559.713439941406,924.312072753906,1245.17755126953,304.927337646484,1737.90283203125,1114.89654549003,916.623822115585,1737.90283203125,1742.38891601562,1759.98880405619,923.203349478857
"45","Linum bienne","aet",227,383.988089607676,47.1008316233601,307.051727294922,389.496429443359,460.281359863281,241.097274780273,488.551483154297,426.474382986892,391.575915042356,387.966613769531,397.873687744141,478.561678799716,380.9271952318
"46","Linum bienne","cwd",227,634.804227719748,179.94409361582,408.876181030273,590.54443359375,994.998596191406,272.976745605469,1014.42169189453,531.969973449835,565.594564155537,272.976745605469,272.605926513672,0,659.422228376732
"47","Logfia gallica","aet",1077,342.465044281941,56.9932063764654,257.092553710938,336.299499511719,436.115405273437,150,499.551879882812,351.878706536739,344.490798428524,441.413665771484,441.413665771484,259.40933998185,308.26568639581
"48","Logfia gallica","cwd",1077,867.221277206832,174.543092802871,553.523461914063,910.206848144531,1083.49592285156,329.813568115234,1341.94689941406,823.682627166676,880.326205592885,980.580627441406,980.580627441406,0,823.943119248954
"49","Lysimachia arvensis","aet",1458,331.168338812264,53.6570343579068,253.940772247314,327.174697875977,422.656890869141,157,490.921722412109,321.411721832595,326.257246933318,268,272.167205810547,273.668354689473,308.054241623622
"50","Lysimachia arvensis","cwd",1458,858.114020558214,186.896369141901,468.224348449707,910.811645507812,1073.13327636719,283.970520019531,1536.92102050781,737.091593904998,870.533915920517,968.139587402344,966.759094238281,0,800.795748893428
"51","Medicago polymorpha","aet",1429,329.9835862733,58.5466832401612,239,326.12109375,427.375909423828,125,500.442108154297,305.832014893062,326.658110542307,189.717834472656,189.717834472656,265.829436947601,303.316646135023
"52","Medicago polymorpha","cwd",1429,872.072728962561,205.805491049074,440.040985107422,929.016906738281,1104.22634277344,276.987670898438,1495.52429199219,827.016997453595,884.23764821339,296.592254638672,296.592254638672,0,798.371993570252
"53","Myosotis discolor","aet",161,379.611871470576,66.9696509575141,255.057540893555,390.854156494141,484.525604248047,181.811294555664,497.934051513672,443.754794077012,394.867847411475,487.361297607422,486.5068359375,0,363.988112403756
"54","Myosotis discolor","cwd",161,711.399048230663,145.561477337133,432.285827636719,721.82177734375,913.472412109375,283.970520019531,1038.24206542969,632.804041283671,693.095639704144,706.063354492188,680.171936035156,700.014796401515,693.279624225168
"55","Plantago lanceolata","aet",1095,348.625788705208,62.2538645922566,254.349822998047,344.790710449219,449.674627685547,71,503.214080810547,363.118834197051,353.890480379453,397.873687744141,397.873687744141,531.658873895202,267.31425526826
"56","Plantago lanceolata","cwd",1095,804.407996525176,203.199333197697,443.091616821289,833.259887695312,1086.92086181641,272.605926513672,1667.48645019531,755.591219183132,783.249618183587,272.605926513672,272.605926513672,0,859.911826637004
"57","Polycarpon tetraphyllum","aet",410,340.720553030619,48.4861666628917,258.251390075684,341.138427734375,415.098052978516,210,466.546875,334.68334256378,343.13959933879,377.355499267578,376.734252929688,372.188962377683,325.869863218606
"58","Polycarpon tetraphyllum","cwd",410,877.372639279249,180.695059689733,527.249600219727,925.994659423828,1092.3471496582,390.675750732422,1351.76330566406,849.351998436076,898.443219961391,1111.39208984375,1149.27624511719,1272.37997159091,811.834575609083
"59","Polycarpon tetraphyllum var. tetraphyllum","aet",98,314.318210523956,53.5158747663512,249.894454956055,311.732788085938,407.974639892578,175,500.159851074219,289.041421083078,305.477726575024,256.522796630859,255,255.232895359848,306.555171099852
"60","Polycarpon tetraphyllum var. tetraphyllum","cwd",98,917.067955484196,190.118949513688,490.003994750977,975.867736816406,1080.29524536133,428.269348144531,1454.04858398438,997.301469555591,945.973160241605,988.233459472656,982.984069824219,991.568270596591,851.61356857245
"61","Rumex acetosella","aet",1305,360.605313975601,59.3879572902592,265.244842529297,354.692840576172,462.527557373047,105,515.564270019531,400.072352016691,366.027811029546,438.321044921875,459.170074462891,538.759728633996,324.460159859615
"62","Rumex acetosella","cwd",1305,691.416355948613,164.87171508859,422.470147705078,694.80615234375,966.752856445312,276.987670898438,1219.01281738281,607.367129980547,656.134411091446,419.921112060547,430.131744384766,425.703894412879,712.162883415937
"63","Silene gallica","aet",1733,333.251623700687,59.6042517451808,239.041107177734,330.434448242188,432.082336425781,69,495.088287353516,318.905836209174,329.563961081224,380.083770751953,380.083770751953,265.829436947601,259.136250365958
"64","Silene gallica","cwd",1733,821.099588613185,212.517896939621,422.235662841797,886.77978515625,1070.77971191406,283.970520019531,1749.5224609375,694.517085899826,810.646919951084,283.970520019531,283.970520019531,0,862.488388076981
