"","name","climVar","N","pmn","sd","q05","pmd","q95","min","max","wtm","mwm","mpt","mat","opt","chc"
"1","Avena barbata","ppt",1556,520.16323907455,267.246390327245,255.5,467,1076.5,150,2076,808.824075991101,484.833473910658,260,260,244.848484848485,1054.03120152638
"2","Avena barbata","tmn",1556,5.27487145905841,3.41640334522325,-0.5,5.19999980926514,11,-8.80000019073486,13.3999996185303,6.10144359699015,5.37157513570143,13.3999996185303,13.3999996185303,13.6363636363636,2.6240492287309
"3","Brachypodium distachyon","ppt",684,533.479532163742,239.075956348661,264,492.5,1016.2,217,1520,670.087205475356,518.917418889508,280,280,293.454545454545,736.291288232225
"4","Brachypodium distachyon","tmn",684,6.6758772024765,2.8825755165414,2.41500008106232,6.59999990463257,11.1999998092651,-1.89999997615814,13.3999996185303,8.25361513269377,7.01248286414512,11.3000001907349,11.3000001907349,11.1818181818182,4.41675454614329
"5","Briza maxima","ppt",483,870.277432712215,317.605103406066,457,818,1428.1,238,2026,1185.34095122148,934.850772031112,1121,1121,1052.54545454545,979.276962302762
"6","Briza maxima","tmn",483,5.64451345819864,2.05029749766627,2.21000003814697,6.19999980926514,7.90000009536743,-6.30000019073486,10.8000001907349,5.06748136092173,5.98280605118635,6.80000019073486,6.80000019073486,6.81818181818182,3.07173311907063
"7","Briza minor","ppt",923,736.33369447454,308.995751471509,343.2,646,1303.9,152,2076,1077.98701453752,775.239982926195,1060,1057,1070.66666666667,1093.18517559975
"8","Briza minor","tmn",923,4.76381365210625,2.4040573470477,1.01000000238419,4.80000019073486,8,-10.8999996185303,11.1000003814697,3.97878633765867,4.65104043030577,3.79999995231628,4.30000019073486,3.81818181818182,1.06591339294319
"9","Bromus diandrus","ppt",2545,530.657367387035,279.954978147291,248.4,470,1120.8,65,2170,823.291832617812,502.10585369734,317,317,346.323232323232,1019.12093858137
"10","Bromus diandrus","tmn",2545,4.91528487909577,3.79175058014596,-1.79999995231628,5,10.8000001907349,-8.80000019073486,13.5,4.54230387422135,4.99440805495884,13,13,13.6363636363636,2.27344557841731
"11","Bromus hordeaceus","ppt",2662,578.380916604056,317.897575883428,258.05,493.5,1212.95,88,2319,982.430760450941,567.342001559838,296,300,300.727272727273,1032.73687634653
"12","Bromus hordeaceus","tmn",2662,4.61566491734873,3.80692898342449,-2.09999990463257,4.80000019073486,10.8000001907349,-10,13.3999996185303,3.91720085363825,4.62567245097961,13.3999996185303,13.3999996185303,13.6363636363636,1.16636221771543
"13","Bromus tectorum","ppt",1908,557.353249475891,340.00231338077,196,470,1307,66,2051,965.776179913177,523.999368517385,238,238,0,950.508315032613
"14","Bromus tectorum","tmn",1908,-1.07814465023468,4.11026944481253,-7.5,-1.10000002384186,5.40000009536743,-13.6999998092651,11.6000003814697,-12.8150232944741,-2.44182469857872,-10.8000001907349,-10.8000001907349,0,-0.289821130644387
"15","Carduus pycnocephalus","ppt",604,552.920529801324,242.860988380865,278.15,495,1057,94,2076,726.734663593011,535.748468630975,392,392,395.79797979798,952.815211690906
"16","Carduus pycnocephalus","tmn",604,5.72731789105282,2.42357795833658,1.89999997615814,5.80000019073486,9.39999961853027,-1.79999995231628,11.3999996185303,5.73229340350445,5.78928128838227,8.5,8.5,8.45454545454545,4.52340993044646
"17","Carduus pycnocephalus subsp. pycnocephalus","ppt",219,599.16894977169,300.626354915854,275.8,526,1142.9,248,2076,965.373051267243,586.312901885804,274,695,684.727272727273,969.40575170737
